Step,Susceptible,Infected,Recovered,Deceased,Sampled
0,496,4,0,0,10.0
1,496,4,0,0,10.0
2,496,4,0,0,10.0
3,495,5,0,0,10.0
4,494,6,0,0,10.0
5,493,7,0,1,10.0
6,493,6,0,1,10.0
7,492,7,0,1,10.0
8,491,8,0,1,10.0
9,491,8,0,1,10.0
10,491,8,0,1,10.0
11,491,8,0,1,10.0
12,490,9,0,1,10.0
13,489,10,0,1,10.0
14,488,11,0,1,10.0
15,485,14,0,1,10.0
16,484,15,0,1,10.0
17,484,15,0,1,10.0
18,483,16,0,1,10.0
19,483,15,1,1,0.0
20,482,15,2,1,0.0
21,482,15,2,1,0.0
22,482,14,3,1,0.0
23,482,14,3,1,0.0
24,481,15,3,1,0.0
25,481,13,5,1,0.0
26,481,13,5,1,0.0
27,479,15,5,1,10.0
28,478,14,7,1,10.0
29,476,16,7,1,10.0
30,472,20,7,1,10.0
31,472,20,7,1,10.0
32,471,21,7,1,10.0
33,470,22,7,1,10.0
34,469,22,8,1,20.0
35,467,22,10,1,20.0
36,467,22,10,1,20.0
37,467,21,11,1,20.0
38,465,22,12,1,30.0
39,463,23,13,1,50.0
40,460,26,13,1,50.0
41,459,26,14,1,50.0
42,455,29,15,1,60.0
43,455,27,17,1,50.0
44,452,28,19,1,50.0
45,449,30,20,2,50.0
46,449,29,20,2,50.0
47,449,29,20,2,50.0
48,446,31,21,2,50.0
49,446,30,22,2,50.0
50,446,28,24,2,50.0
51,444,30,24,2,60.0
52,441,33,24,2,60.0
53,440,33,25,2,60.0
54,437,35,26,3,70.0
55,436,35,26,3,70.0
56,435,35,27,3,60.0
57,433,34,30,3,60.0
58,432,30,35,3,40.0
59,430,30,37,3,40.0
60,430,28,39,3,40.0
61,427,30,40,4,40.0
62,427,28,41,4,50.0
63,425,30,41,4,50.0
64,424,31,41,4,50.0
65,423,32,41,4,50.0
66,421,33,42,4,50.0
67,419,33,44,5,50.0
68,417,32,46,5,60.0
69,415,34,46,5,60.0
70,412,36,47,7,60.0
71,411,33,49,7,40.0
72,410,32,51,7,40.0
73,409,31,53,7,40.0
74,409,30,54,7,40.0
75,407,31,55,7,40.0
76,405,31,57,7,40.0
77,404,32,57,7,40.0
78,401,33,59,7,30.0
79,400,34,59,7,30.0
80,399,33,61,7,30.0
81,398,32,63,7,20.0
82,396,34,63,7,20.0
83,391,36,66,7,20.0
84,391,32,70,8,20.0
85,388,33,71,9,20.0
86,386,34,71,9,20.0
87,385,35,71,9,30.0
88,383,36,72,9,30.0
89,379,38,74,9,30.0
90,377,38,76,9,20.0
91,377,36,78,9,20.0
92,377,34,80,9,10.0
93,374,37,80,9,20.0
94,372,38,81,9,30.0
95,371,38,82,10,30.0
96,368,37,85,10,30.0
97,367,37,86,10,30.0
98,366,35,89,10,30.0
99,365,34,91,10,30.0
